player_1;player_2;0laye3_1_3ace;0laye3_2_3ace;tournament_type;player_1_match_status
MC;Stats;0;0;0;0
MC;NaTuRal;0;1;0;1
MC;Dark;0;2;0;0
MC;INnoVation;0;1;0;0
MC;TRUE;0;2;0;0
MC;Cure;0;1;1;0
MC;Super;0;0;1;1
MC;aLive;0;1;1;1
MC;Curious;0;2;1;1
MC;Zest;0;0;1;0
MC;GuMiho;0;1;1;0
MC;Zest;0;0;1;1
MC;GuMiho;0;1;1;0
MC;Super;0;0;1;0
MC;Journey;0;1;1;1
MC;Zest;0;0;1;1
MC;Trust;0;0;1;0
MC;BrAvO;0;1;1;0
MC;NightMare;0;0;1;1
MC;Blaze;0;0;1;1
MC;KeeN;0;1;1;1
MC;JYP;0;0;1;1
MC;DRGLing;0;2;1;1
MC;Billowy;0;0;1;0
MC;Trust;0;0;1;1
MC;Soloist;0;1;1;1
MC;Symbol;0;2;0;0
MC;ByuN;0;1;0;0
MC;Polt;0;1;0;1
MC;XiGua;0;2;0;1
MC;BreakingGG;0;2;0;1
MC;Jim;0;0;0;1
MC;GuMiho;0;1;0;0
MC;TIME;0;1;0;1
MC;Jim;0;0;0;0
MC;TOP;0;1;0;1
MC;Ryung;0;1;0;0
MC;horror;0;2;0;0
MC;Ryung;0;1;0;1
MC;FireCake;0;2;0;0
MC;Ryung;0;1;0;0
MC;MarineLorD;0;1;0;1
MC;SpeCial;0;1;0;1
MC;Bly;0;2;0;0
MC;sOs;0;0;1;0
MC;HyuN;0;2;0;1
MC;aLive;0;1;0;1
MC;DeParture;0;2;1;0
MC;Super;0;0;1;0
MC;TRUE;0;2;0;0
MC;Cure;0;1;0;0
MC;HyuN;0;2;0;1
MC;Snute;0;2;1;0
MC;Dayshi;0;1;1;1
MC;Elazer;0;2;1;0
MC;MaNa;0;0;1;1
MC;Bly;0;2;1;1
MC;Bunny;0;1;1;1
MC;Solar;0;2;0;0
MC;Polt;0;1;0;1
MC;Petraeus;0;2;0;1
MC;JimRising;0;2;0;1
MC;TLO;0;2;0;1
Life;Bunny;2;1;1;1
Life;Elroye;2;2;1;1
Life;Bunny;2;1;0;0
Life;Impact;2;2;0;1
Life;Solar;2;2;0;0
Life;Choya;2;0;0;1
Life;SGW;2;0;0;1
Life;Raynor;2;1;0;1
Life;herO;2;0;1;0
Life;Zest;2;0;1;1
